Comment,Designator,Footprint,LCSC,Quantity
2k2,"R14,R17,R22,R23,R24,R25",R_0805_2012Metric,C114561,6
220uF,C12,CP_Elec_6.3x7.7,C131120,1
16Mhz,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738,1
SST39SF010,U5,DIP_Socket-32_W11.9_W12.7_W15.24_W17.78_W18.5_3M_232-1285-00-0602J,C146583,1
100nF,"C10,C11,C15,C16,C17,C18,C19,C23,C24,C25,C3,C4,C5,C6,C7,C8,C9",C_0603_1608Metric,C14663,17
10uF,C22,C_0805_2012Metric,C15850,1
150k,R12,R_0805_2012Metric,C17470,1
150,R7,R_0805_2012Metric,C17471,1
1M,R5,R_0805_2012Metric,C17514,1
3k,"R1,R10,R11,R2,R3,R4,R50,R51,R52,R53,R54,R55,R56,R57,R8,R9",R_0805_2012Metric,C17661,16
470,R6,R_0805_2012Metric,C17710,1
74HC14,"U1,U13,U14,U17,U21,U8",DIP-14_W7.62mm,C2325,6
Interface,J20,PinHeader_2x05_P2.54mm_Vertical,C2685204,1
1uF,"C13,C14,C20,C21",C_0805_2012Metric,C28323,4
USB2.0_16P,J9,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C2894897,1
5k1,"R58,R59",R_0805_2012Metric,C3016714,2
MIC5504-3.3YM5,U15,SOT-23-5,C3021093,1
Address bus,J16,PinHeader_2x08_P2.54mm_Vertical,C30734,1
SW_Push,SW1,SW_SPST_TL3342,C318884,1
USB_A,J17,USB_A_Molex_67643_Horizontal,C456018,1
14pF,"C1,C2",C_0805_2012Metric,C519919,2
DB15_Female_HighDensity,J6,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,C711363,1
74HC109,"U12,U19,U20,U6,U7",DIP-16_W7.62mm,C72115,5
74HC245,"U10,U11,U4",DIP-20_W7.62mm,C72118,3
62256,"U16,U18",DIP-28_W15.24mm,C72121,2
R6502,"U2,U3",DIP-40_W15.24mm,C72123,2
CA,"J3,J4",PinHeader_1x02_P2.54mm_Vertical,C7499322,2
PORTAB,J2,PinHeader_1x16_P2.54mm_Vertical,C7500783,1
3v3,"3v3,5V0,DCTRL3,DCTRL4,DCTRL5,DCTRL6,DCTRL7,DVB0,DVB1,DVEN1",LED_0805_2012Metric,C84256,10
Power,J14,PinHeader_2x06_P2.54mm_Vertical,C92269,1
Data_bus,J15,PinHeader_2x04_P2.54mm_Vertical,C92271,1
W27c512?,J5,PinHeader_1x02_P2.54mm_Vertical,,1
Control_bus,J12,PinHeader_1x08_P2.54mm_Vertical,,1
GPCO,J11,PinHeader_1x05_P2.54mm_Vertical,,1
16Mhz,,Crystal_HC49-U_Vertical,,0
Conn_01x12_Male,,PinHeader_1x12_P2.54mm_Vertical,,0
USB,J10,PinHeader_1x02_P2.54mm_Vertical,,1
5V,J1,PinHeader_1x02_P2.54mm_Vertical,,1
NC,R30,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
5V,J8,PinHeader_1x02_P2.54mm_Vertical,,1
NC,,R_0805_2012Metric,,0
NC,R36,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,C34,C_0805_2012Metric,,1
NC,R32,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,,R_0805_2012Metric,,0
NC,C32,C_0805_2012Metric,,1
NC,R31,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,R39,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,C29,C_0805_2012Metric,,1
NC,R49,R_0805_2012Metric,,1
NC,C30,C_0805_2012Metric,,1
NC,R44,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,C27,C_0805_2012Metric,,1
NRF24L01_Breakout,U9,NRF24L01-SMD,,1
NC,C33,C_0805_2012Metric,,1
NC,,R_0805_2012Metric,,0
NC,C28,C_0805_2012Metric,,1
NC,R34,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,R29,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,R47,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,R33,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,R37,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,R43,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,,R_0805_2012Metric,,0
NC,R35,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,C35,C_0805_2012Metric,,1
NC,R45,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,C31,C_0805_2012Metric,,1
NC,R42,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,R46,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,C36,C_0805_2012Metric,,1
NC,R38,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,C37,C_0805_2012Metric,,1
NC,R41,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NC,C26,C_0805_2012Metric,,1
NC,R40,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
